,0
gameid,object
date,object
result,int64
team1_id,float64
team1_teamname,object
team2_id,float64
team2_teamname,object
playoffs_team1,float64
game_team1,int64
gamelength_team1,float64
assists_team1,float64
teamkills_team1,float64
teamdeaths_team1,float64
doublekills_team1,float64
triplekills_team1,float64
firstblood_team1,float64
team kpm_team1,float64
ckpm_team1,float64
firstdragon_team1,float64
elementaldrakes_team1,float64
opp_elementaldrakes_team1,float64
elders_team1,float64
opp_elders_team1,float64
firstherald_team1,float64
heralds_team1,float64
opp_heralds_team1,float64
firstbaron_team1,float64
barons_team1,float64
opp_barons_team1,float64
firsttower_team1,float64
towers_team1,float64
opp_towers_team1,float64
firstmidtower_team1,float64
firsttothreetowers_team1,float64
turretplates_team1,float64
opp_turretplates_team1,float64
inhibitors_team1,float64
opp_inhibitors_team1,float64
damagetochampions_team1,float64
dpm_team1,float64
damagetakenperminute_team1,float64
damagemitigatedperminute_team1,float64
wardsplaced_team1,float64
wpm_team1,float64
wardskilled_team1,float64
wcpm_team1,float64
controlwardsbought_team1,float64
visionscore_team1,float64
vspm_team1,float64
totalgold_team1,float64
earnedgold_team1,float64
earned gpm_team1,float64
goldspent_team1,float64
gspd_team1,float64
gpr_team1,float64
minionkills_team1,float64
monsterkills_team1,float64
cspm_team1,float64
goldat10_team1,float64
xpat10_team1,float64
csat10_team1,float64
opp_goldat10_team1,float64
opp_xpat10_team1,float64
opp_csat10_team1,float64
golddiffat10_team1,float64
xpdiffat10_team1,float64
csdiffat10_team1,float64
killsat10_team1,float64
assistsat10_team1,float64
deathsat10_team1,float64
opp_killsat10_team1,float64
opp_assistsat10_team1,float64
opp_deathsat10_team1,float64
goldat15_team1,float64
xpat15_team1,float64
csat15_team1,float64
opp_goldat15_team1,float64
opp_xpat15_team1,float64
opp_csat15_team1,float64
golddiffat15_team1,float64
xpdiffat15_team1,float64
csdiffat15_team1,float64
killsat15_team1,float64
assistsat15_team1,float64
deathsat15_team1,float64
opp_killsat15_team1,float64
opp_assistsat15_team1,float64
opp_deathsat15_team1,float64
result_cumsum_team1,float64
game_format_team1,object
bot_assists_team1,float64
jng_assists_team1,float64
mid_assists_team1,float64
sup_assists_team1,float64
top_assists_team1,float64
bot_assistsat10_team1,float64
jng_assistsat10_team1,float64
mid_assistsat10_team1,float64
sup_assistsat10_team1,float64
top_assistsat10_team1,float64
bot_assistsat15_team1,float64
jng_assistsat15_team1,float64
mid_assistsat15_team1,float64
sup_assistsat15_team1,float64
top_assistsat15_team1,float64
bot_barons_team1,float64
jng_barons_team1,float64
mid_barons_team1,float64
sup_barons_team1,float64
top_barons_team1,float64
bot_controlwardsbought_team1,float64
jng_controlwardsbought_team1,float64
mid_controlwardsbought_team1,float64
sup_controlwardsbought_team1,float64
top_controlwardsbought_team1,float64
bot_csat10_team1,float64
jng_csat10_team1,float64
mid_csat10_team1,float64
sup_csat10_team1,float64
top_csat10_team1,float64
bot_csat15_team1,float64
jng_csat15_team1,float64
mid_csat15_team1,float64
sup_csat15_team1,float64
top_csat15_team1,float64
bot_csdiffat10_team1,float64
jng_csdiffat10_team1,float64
mid_csdiffat10_team1,float64
sup_csdiffat10_team1,float64
top_csdiffat10_team1,float64
bot_csdiffat15_team1,float64
jng_csdiffat15_team1,float64
mid_csdiffat15_team1,float64
sup_csdiffat15_team1,float64
top_csdiffat15_team1,float64
bot_cspm_team1,float64
jng_cspm_team1,float64
mid_cspm_team1,float64
sup_cspm_team1,float64
top_cspm_team1,float64
bot_damagemitigatedperminute_team1,float64
jng_damagemitigatedperminute_team1,float64
mid_damagemitigatedperminute_team1,float64
sup_damagemitigatedperminute_team1,float64
top_damagemitigatedperminute_team1,float64
bot_damageshare_team1,float64
jng_damageshare_team1,float64
mid_damageshare_team1,float64
sup_damageshare_team1,float64
top_damageshare_team1,float64
bot_damagetakenperminute_team1,float64
jng_damagetakenperminute_team1,float64
mid_damagetakenperminute_team1,float64
sup_damagetakenperminute_team1,float64
top_damagetakenperminute_team1,float64
bot_damagetochampions_team1,float64
jng_damagetochampions_team1,float64
mid_damagetochampions_team1,float64
sup_damagetochampions_team1,float64
top_damagetochampions_team1,float64
bot_deaths_team1,float64
jng_deaths_team1,float64
mid_deaths_team1,float64
sup_deaths_team1,float64
top_deaths_team1,float64
bot_deathsat10_team1,float64
jng_deathsat10_team1,float64
mid_deathsat10_team1,float64
sup_deathsat10_team1,float64
top_deathsat10_team1,float64
bot_deathsat15_team1,float64
jng_deathsat15_team1,float64
mid_deathsat15_team1,float64
sup_deathsat15_team1,float64
top_deathsat15_team1,float64
bot_doublekills_team1,float64
jng_doublekills_team1,float64
mid_doublekills_team1,float64
sup_doublekills_team1,float64
top_doublekills_team1,float64
bot_dpm_team1,float64
jng_dpm_team1,float64
mid_dpm_team1,float64
sup_dpm_team1,float64
top_dpm_team1,float64
bot_earned gpm_team1,float64
jng_earned gpm_team1,float64
mid_earned gpm_team1,float64
sup_earned gpm_team1,float64
top_earned gpm_team1,float64
bot_earnedgold_team1,float64
jng_earnedgold_team1,float64
mid_earnedgold_team1,float64
sup_earnedgold_team1,float64
top_earnedgold_team1,float64
bot_earnedgoldshare_team1,float64
jng_earnedgoldshare_team1,float64
mid_earnedgoldshare_team1,float64
sup_earnedgoldshare_team1,float64
top_earnedgoldshare_team1,float64
bot_firstbloodassist_team1,float64
jng_firstbloodassist_team1,float64
mid_firstbloodassist_team1,float64
sup_firstbloodassist_team1,float64
top_firstbloodassist_team1,float64
bot_firstbloodkill_team1,float64
jng_firstbloodkill_team1,float64
mid_firstbloodkill_team1,float64
sup_firstbloodkill_team1,float64
top_firstbloodkill_team1,float64
bot_firstbloodvictim_team1,float64
jng_firstbloodvictim_team1,float64
mid_firstbloodvictim_team1,float64
sup_firstbloodvictim_team1,float64
top_firstbloodvictim_team1,float64
bot_game_team1,float64
jng_game_team1,float64
mid_game_team1,float64
sup_game_team1,float64
top_game_team1,float64
bot_goldat10_team1,float64
jng_goldat10_team1,float64
mid_goldat10_team1,float64
sup_goldat10_team1,float64
top_goldat10_team1,float64
bot_goldat15_team1,float64
jng_goldat15_team1,float64
mid_goldat15_team1,float64
sup_goldat15_team1,float64
top_goldat15_team1,float64
bot_golddiffat10_team1,float64
jng_golddiffat10_team1,float64
mid_golddiffat10_team1,float64
sup_golddiffat10_team1,float64
top_golddiffat10_team1,float64
bot_golddiffat15_team1,float64
jng_golddiffat15_team1,float64
mid_golddiffat15_team1,float64
sup_golddiffat15_team1,float64
top_golddiffat15_team1,float64
bot_goldspent_team1,float64
jng_goldspent_team1,float64
mid_goldspent_team1,float64
sup_goldspent_team1,float64
top_goldspent_team1,float64
bot_inhibitors_team1,float64
jng_inhibitors_team1,float64
mid_inhibitors_team1,float64
sup_inhibitors_team1,float64
top_inhibitors_team1,float64
bot_kills_team1,float64
jng_kills_team1,float64
mid_kills_team1,float64
sup_kills_team1,float64
top_kills_team1,float64
bot_killsat10_team1,float64
jng_killsat10_team1,float64
mid_killsat10_team1,float64
sup_killsat10_team1,float64
top_killsat10_team1,float64
bot_killsat15_team1,float64
jng_killsat15_team1,float64
mid_killsat15_team1,float64
